TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
CONTEXT	unknown	EXTERNAL:0000004a	basic_istream<char,std::char_traits<char>_>	0	undefined basic_istream<char,std::char_traits<char>_>(basic_istream<char,std::char_traits<char>_> * this, basic_streambuf<char,std::char_traits<char>_> * param_1, bool param_2)
CONTEXT	unknown	EXTERNAL:0000004b	basic_ios<char,std::char_traits<char>_>	0	undefined basic_ios<char,std::char_traits<char>_>(basic_ios<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:0000004c	basic_streambuf<char,std::char_traits<char>_>	0	undefined basic_streambuf<char,std::char_traits<char>_>(basic_streambuf<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:0000004d	setstate	0	void setstate(basic_ios<char,std::char_traits<char>_> * this, int param_1, bool param_2)
CONTEXT	unknown	EXTERNAL:0000004e	sgetc	0	int sgetc(basic_streambuf<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:0000004f	snextc	0	int snextc(basic_streambuf<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000050	_Ipfx	0	bool _Ipfx(basic_istream<char,std::char_traits<char>_> * this, bool param_1)
CONTEXT	unknown	EXTERNAL:00000053	_Xbad_function_call	0	void _Xbad_function_call(void)
CONTEXT	unknown	EXTERNAL:0000006d	isxdigit	0	int isxdigit(int _C)
CONTEXT	unknown	EXTERNAL:00000070	_invalid_parameter_noinfo_noreturn	0	void _invalid_parameter_noinfo_noreturn(void)
CONTEXT	unknown	EXTERNAL:0000007b	abort	0	void abort(void)
CONTEXT	0x1730	180001730	FUN_180001730	0	longlong FUN_180001730(longlong param_1)
CONTEXT	0x2650	180002650	FUN_180002650	0	undefined FUN_180002650(basic_streambuf<char,std::char_traits<char>_> * param_1)
CONTEXT	0x2710	180002710	FUN_180002710	0	undefined FUN_180002710(longlong * param_1)
CONTEXT	0x2890	180002890	FUN_180002890	0	undefined FUN_180002890(longlong param_1, void * param_2, ulonglong param_3, uint param_4)
CONTEXT	0x29D0	1800029d0	FUN_1800029d0	0	facet * FUN_1800029d0(locale * param_1)
CONTEXT	0x2CC0	180002cc0	FUN_180002cc0	0	undefined8 * FUN_180002cc0(undefined8 * param_1, undefined8 param_2, undefined8 param_3, undefined1 param_4)
CONTEXT	0x2E30	180002e30	FUN_180002e30	0	undefined FUN_180002e30(undefined8 * param_1, void * param_2, size_t param_3)
CONTEXT	0x2FB0	180002fb0	FUN_180002fb0	0	undefined1 * FUN_180002fb0(longlong * param_1, void * param_2, undefined1 * param_3)
